Package                                                                        Current                               Wanted         Latest  Location                                                                                      Depended by
@babel/plugin-proposal-private-property-in-object  7.21.0-placeholder-for-preset-env.2  7.21.0-placeholder-for-preset-env.2        7.21.11  node_modules/@babel/plugin-proposal-private-property-in-object                                @babel/preset-env
@babel/preset-modules                                        0.1.6-no-external-plugins            0.1.6-no-external-plugins          0.1.6  node_modules/@babel/preset-modules                                                            @babel/preset-env
@colors/colors                                                                   1.5.0                                1.5.0          1.6.0  node_modules/npm/node_modules/@colors/colors                                                  cli-table3
@discoveryjs/json-ext                                                            0.5.7                                0.5.7          0.6.1  node_modules/@discoveryjs/json-ext                                                            webpack-cli
@discoveryjs/json-ext                                                            0.5.7                                0.5.7          0.6.1  node_modules/@discoveryjs/json-ext                                                            webpack-cli
@eslint/eslintrc                                                                 2.1.4                                2.1.4          3.1.0  node_modules/@eslint/eslintrc                                                                 eslint
@eslint/js                                                                      8.57.0                               8.57.0         9.10.0  node_modules/@eslint/js                                                                       eslint
@humanwhocodes/config-array                                                    0.11.14                              0.11.14         0.13.0  node_modules/@humanwhocodes/config-array                                                      eslint
@mapbox/mapbox-gl-style-spec                                                   13.28.0                              13.28.0         14.6.0  node_modules/@mapbox/mapbox-gl-style-spec                                                     ol-mapbox-style
@mapbox/point-geometry                                                           0.1.0                                0.1.0          1.1.0  node_modules/@mapbox/point-geometry                                                           @mapbox/mapbox-gl-style-spec
@mapbox/unitbezier                                                               0.0.0                                0.0.0          0.0.1  node_modules/@mapbox/unitbezier                                                               @mapbox/mapbox-gl-style-spec
@mui/core-downloads-tracker                                                     5.16.7                               5.16.7          6.1.0  node_modules/@mui/core-downloads-tracker                                                      @mui/joy
@mui/core-downloads-tracker                                                     5.16.7                               5.16.7          6.1.0  node_modules/@mui/core-downloads-tracker                                                      @mui/material
@mui/icons-material                                                             5.16.7                               5.16.7          6.1.0  node_modules/@mui/icons-material                                                              web
@mui/material                                                                   5.16.7                               5.16.7          6.1.0  node_modules/@mui/material                                                                    web
@mui/material                                                                   5.16.7                               5.16.7          6.1.0  node_modules/@mui/material                                                                    @mui/icons-material
@mui/private-theming                                                            5.16.6                               5.16.6          6.1.0  node_modules/@mui/private-theming                                                             @mui/system
@mui/styled-engine                                                              5.16.6                               5.16.6          6.1.0  node_modules/@mui/styled-engine                                                               @mui/system
@mui/system                                                                     5.16.7                               5.16.7          6.1.0  node_modules/@mui/system                                                                      @mui/joy
@mui/system                                                                     5.16.7                               5.16.7          6.1.0  node_modules/@mui/system                                                                      @mui/material
@mui/utils                                                                      5.16.6                               5.16.6          6.1.0  node_modules/@mui/utils                                                                       @mui/base
@mui/utils                                                                      5.16.6                               5.16.6          6.1.0  node_modules/@mui/utils                                                                       @mui/joy
@mui/utils                                                                      5.16.6                               5.16.6          6.1.0  node_modules/@mui/utils                                                                       @mui/private-theming
@mui/utils                                                                      5.16.6                               5.16.6          6.1.0  node_modules/@mui/utils                                                                       @mui/material
@mui/utils                                                                      5.16.6                               5.16.6          6.1.0  node_modules/@mui/utils                                                                       @mui/system
@nodelib/fs.scandir                                                              2.1.5                                2.1.5          3.0.0  node_modules/@nodelib/fs.scandir                                                              @nodelib/fs.walk
@nodelib/fs.stat                                                                 2.0.5                                2.0.5          3.0.0  node_modules/@nodelib/fs.stat                                                                 fast-glob
@nodelib/fs.stat                                                                 2.0.5                                2.0.5          3.0.0  node_modules/@nodelib/fs.stat                                                                 @nodelib/fs.scandir
@nodelib/fs.walk                                                                 1.2.8                                1.2.8          2.0.0  node_modules/@nodelib/fs.walk                                                                 eslint
@nodelib/fs.walk                                                                 1.2.8                                1.2.8          2.0.0  node_modules/@nodelib/fs.walk                                                                 fast-glob
@npmcli/arborist                                                                 6.5.1                                6.5.1          7.5.4  node_modules/npm/node_modules/@npmcli/arborist                                                npm
@npmcli/arborist                                                                 4.3.1                                4.3.1          7.5.4  node_modules/@npmcli/arborist                                                                 yeoman-environment
@npmcli/arborist                                                                 6.5.1                                6.5.1          7.5.4  node_modules/npm/node_modules/@npmcli/arborist                                                libnpmdiff
@npmcli/arborist                                                                 6.5.1                                6.5.1          7.5.4  node_modules/npm/node_modules/@npmcli/arborist                                                libnpmexec
@npmcli/arborist                                                                 6.5.1                                6.5.1          7.5.4  node_modules/npm/node_modules/@npmcli/arborist                                                libnpmfund
@npmcli/arborist                                                                 6.5.1                                6.5.1          7.5.4  node_modules/npm/node_modules/@npmcli/arborist                                                libnpmpack
@npmcli/config                                                                   6.4.1                                6.4.1          8.3.4  node_modules/npm/node_modules/@npmcli/config                                                  npm
@npmcli/disparity-colors                                                         3.0.0                                3.0.1          3.0.1  node_modules/npm/node_modules/@npmcli/disparity-colors                                        libnpmdiff
@npmcli/fs                                                                       1.1.1                                1.1.1          3.1.1  node_modules/@npmcli/fs                                                                       cacache
@npmcli/fs                                                                       3.1.0                                3.1.1          3.1.1  node_modules/npm/node_modules/@npmcli/fs                                                      npm
@npmcli/fs                                                                       2.1.2                                2.1.2          3.1.1  node_modules/npm-registry-fetch/node_modules/@npmcli/fs                                       cacache
@npmcli/fs                                                                       3.1.0                                3.1.1          3.1.1  node_modules/npm/node_modules/@npmcli/fs                                                      cacache
